q_end,b2_ocr,b2c_swap_2y,b2c_swap_5y,b2c_nzgb_2y,b2c_nzgb_5y,b2c_swap_slope_5y2y,b2c_gov_slope_5y2y,b3_housing_lending,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_2,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_3,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_4,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_5,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_6,h1_expected_inflation_1y,h1_expected_inflation_2y,h1_expected_inflation_5y,h1_expected_house_price_1y,h1_expected_house_price_5y,h2_mortgage_payment_risk,h2_rent_payment_risk,h2_expected_earnings_change,h2_job_loss_risk,h2_job_find_prob,house_price_annual_pct_change,house_value_index,debt_servicing_pct,floating_rate,two_year_fixed_rate,cpi_annual_pct_change,unemployment_rate
2022-09-30,2.6692307692307695,4.112153846153846,3.935692307692307,3.637230769230769,3.6506153846153846,-0.17646153846153825,0.01338461538461555,6.573333333333333,5.876666666666667,5.116666666666667,4.7700000000000005,4.933333333333334,5.17,21.775,4.6,2.35,5.633333333333334,5.75,6.6,10.75,17.700000000000003,11.85,52.9,-3.6,1630391,6.7,6.47,5.97,7.2,3.3
2022-12-31,3.778225806451613,5.0885483870967745,4.657903225806452,4.513064516129032,4.315806451612903,-0.4306451612903226,-0.19725806451612904,7.526666666666666,6.803333333333334,5.676666666666667,5.326666666666667,5.533333333333333,5.566666666666666,17.775,4.65,2,3.7,5.5,7.65,8.8,17.400000000000002,14.85,50.3,-10.8,1608367,7.1,7.376666666666667,6.766666666666667,7.2,3.4
2023-03-31,4.467741935483871,5.1006451612903225,4.496774193548387,4.643709677419355,4.247903225806452,-0.6038709677419352,-0.39580645161290295,7.906666666666666,7.406666666666666,6.35,6.023333333333333,6.203333333333333,6.156666666666666,15.125,2.75,1.75,1.5333333333333332,2.2,7.65,9.45,17.633333333333333,11.45,49.45,-11.7,1573547,7.8,7.873333333333333,7.036666666666667,6.7,3.4
2023-06-30,5.331967213114754,5.197377049180328,4.447213114754098,4.817540983606557,4.247540983606557,-0.7501639344262294,-0.5700000000000003,8.4,7.786666666666667,6.7,6.3133333333333335,6.343333333333333,6.14,14.925,4.75,1.55,2.8666666666666667,5.1,7.9,7.75,17.666666666666668,11.65,50.85,-8.9,1563341,8.3,8.363333333333333,7.1066666666666665,6,3.6
2023-09-30,5.5,5.5340625,4.900625,5.47484375,4.8884375,-0.6334375000000003,-0.5864062499999996,8.61,8.153333333333332,7.133333333333334,6.71,6.726666666666667,6.4366666666666665,8.85,3.4,1.9,10.566666666666668,7.55,6.7,8.15,17.749999999999996,11.1,50.6,-4.1,1590955,8.8,8.56,7.413333333333333,5.6,3.9
2023-12-31,5.5,5.292419354838709,4.8633870967741935,5.140322580645162,4.940645161290322,-0.42903225806451584,-0.1996774193548392,8.63,8.22,7.27,6.98,6.976666666666667,6.7700000000000005,6.600000000000001,3.1,2.05,20.866666666666667,8.05,6.2,8.1,17.71666666666667,11.65,49.3,-0.6,1621444,9.2,8.61,7.576666666666666,4.7,4
2024-03-31,5.5,4.921803278688524,4.41,4.708688524590164,4.466065573770492,-0.5118032786885243,-0.24262295081967175,8.63,8.266666666666667,7.21,7.003333333333334,6.926666666666667,6.783333333333333,4.174999999999999,3.4000000000000004,3.3,21.4,8.75,8.65,9,18.116666666666667,16.05,50.4,2.1,1630738,9.6,8.61,7.443333333333333,4,4.4
2024-06-30,5.5,5.01327868852459,4.532622950819672,4.822622950819672,4.565737704918033,-0.4806557377049181,-0.2568852459016391,8.633333333333335,8.323333333333334,7.083333333333333,6.86,6.796666666666667,6.6466666666666665,6.725000000000002,3.3,3,18.433333333333337,8.75,6.15,8.45,17.650000000000002,16.1,46.25,1.2,1619652,10.4,8.61,7.363333333333333,3.3,4.6
2024-09-30,5.375,4.059090909090909,3.8068181818181817,4.1906060606060604,3.9545454545454546,-0.252272727272727,-0.23606060606060583,8.46,8.136666666666667,6.933333333333334,6.626666666666667,6.426666666666667,6.279999999999999,0.7749999999999999,3.05,3.2,12.266666666666667,6,6.95,8.65,17.599999999999998,16.2,43.4,-1,1618019,10.5,8.503333333333332,6.763333333333334,2.2,4.8
2024-12-31,4.630952380952381,3.6498412698412697,3.736507936507937,3.82,4.038888888888889,0.08666666666666689,0.2188888888888889,7.67,7.533333333333333,6.443333333333333,5.816666666666666,5.89,5.75,2.8250000000000006,3.35,3.2,15.333333333333334,6.55,6.45,8.75,17.599999999999998,15.05,41.65,-1.6,1636999,10.2,7.91,6.226666666666667,2.2,5.1
2025-03-31,4.020491803278689,3.468032786885246,3.716393442622951,3.640491803278688,4.064754098360655,0.24836065573770497,0.424262295081967,7.07,6.986666666666666,6.006666666666667,5.426666666666667,5.58,5.359999999999999,11.675,3.45,3.3,17.166666666666668,6.5,6.45,8.85,17.533333333333335,16.5,40.75,-2,1642553,10.1,7.4,5.826666666666667,2.5,5.1
2025-06-30,3.441666666666667,3.1838333333333333,3.5625,3.3361666666666667,3.900333333333333,0.3786666666666667,0.5641666666666665,6.58,6.414999999999999,5.640000000000001,5.08,5.145,5.045,14.925,3.85,3.35,17.066666666666666,6.15,6.15,10.75,17.416666666666668,18.2,36.55,NA,NA,NA,6.903333333333333,5.626666666666667,2.7,NA
2025-09-30,3.25,3.165,3.5549999999999997,3.2688888888888887,3.855555555555555,0.3899999999999997,0.5866666666666669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
