Date,Floating rate,2 year fixed rate
31/10/2014,6.59,6.27
30/09/2014,6.59,6.31
31/08/2014,6.57,6.25
31/07/2014,6.51,6.3
30/06/2014,6.33,6.23
31/05/2014,6.18,6.21
30/04/2014,6.05,6.25
31/03/2014,6.01,6.23
28/02/2014,5.83,6.02
31/01/2014,5.83,6.08
31/12/2013,5.83,6.02
30/11/2013,5.83,5.85
31/10/2013,5.83,5.83
30/09/2013,5.83,5.82
31/08/2013,5.8,5.76
31/07/2013,5.8,5.65
30/06/2013,5.8,5.54
31/05/2013,5.8,5.47
30/04/2013,5.8,5.49
31/03/2013,5.8,5.52
28/02/2013,5.8,5.52
31/01/2013,5.8,5.53
31/12/2012,5.8,5.51
30/11/2012,5.79,5.42
31/10/2012,5.79,5.4
30/09/2012,5.79,5.47
31/08/2012,5.79,5.54
31/07/2012,5.79,5.56
30/06/2012,5.81,5.55
31/05/2012,5.81,5.56
30/04/2012,5.81,5.81
31/03/2012,5.86,5.81
29/02/2012,5.86,5.82
31/01/2012,5.86,5.86
31/12/2011,5.86,5.94
30/11/2011,5.83,5.96
31/10/2011,5.85,6.21
30/09/2011,5.87,6.34
31/08/2011,5.87,6.41
31/07/2011,5.87,6.41
30/06/2011,5.87,6.42
31/05/2011,5.87,6.42
30/04/2011,5.89,6.44
31/03/2011,5.93,6.44
28/02/2011,6.34,6.59
31/01/2011,6.34,6.66
31/12/2010,6.34,6.66
30/11/2010,6.34,6.68
31/10/2010,6.34,6.73
30/09/2010,6.34,6.73
31/08/2010,6.35,6.79
31/07/2010,6.12,6.94
30/06/2010,6.12,7.13
31/05/2010,5.98,7.18
30/04/2010,5.98,7.08
31/03/2010,5.98,7.15
28/02/2010,5.98,7.18
31/01/2010,6.07,7.22
31/12/2009,6.07,7.22
30/11/2009,6.07,7.12
31/10/2009,6.15,7.08
30/09/2009,6.22,6.62
31/08/2009,6.33,6.52
31/07/2009,6.37,6.3
30/06/2009,6.37,6.26
31/05/2009,6.37,6.23
30/04/2009,6.37,6.24
31/03/2009,6.37,6.17
28/02/2009,6.72,5.93
31/01/2009,7.17,6.31
31/12/2008,7.88,7.1
30/11/2008,8.82,7.46
31/10/2008,9.62,8.24
30/09/2008,10.26,8.62
31/08/2008,10.72,8.96
31/07/2008,10.72,9.03
30/06/2008,10.72,9.2
31/05/2008,10.72,9.34
30/04/2008,10.56,9.62
31/03/2008,10.56,9.63
29/02/2008,10.51,9.55
31/01/2008,10.41,9.5
31/12/2007,10.4,9.38
30/11/2007,10.4,9.26
31/10/2007,10.4,9.14
30/09/2007,10.4,9.12
31/08/2007,10.4,9.22
31/07/2007,10.19,9.19
30/06/2007,10.14,9.16
31/05/2007,9.91,8.84
30/04/2007,9.72,8.83
31/03/2007,9.69,8.71
28/02/2007,9.46,8.38
31/01/2007,9.46,8.23
31/12/2006,9.46,8.18
30/11/2006,9.46,8.08
31/10/2006,9.46,8.06
30/09/2006,9.46,8.03
31/08/2006,9.46,8.13
31/07/2006,9.47,8.21
30/06/2006,9.47,7.97
31/05/2006,9.47,7.92
30/04/2006,9.47,7.75
31/03/2006,9.47,7.84
28/02/2006,9.47,7.97
31/01/2006,9.47,8.13
31/12/2005,9.47,8.27
30/11/2005,9.17,8.22
31/10/2005,9.02,7.92
30/09/2005,8.94,7.71
31/08/2005,8.94,7.64
31/07/2005,8.94,7.63
30/06/2005,8.94,7.64
31/05/2005,8.94,7.73
30/04/2005,8.94,7.75
31/03/2005,8.91,7.73
28/02/2005,8.67,7.67
31/01/2005,8.67,7.61
31/12/2004,8.67,7.61
30/11/2004,8.64,7.13
31/10/2004,8.45,7.39
30/09/2004,8.45,7.63
31/08/2004,8.2,7.54
31/07/2004,7.89,7.46
30/06/2004,7.92,7.49
31/05/2004,7.69,7.22
30/04/2004,7.42,6.88
31/03/2004,7.41,6.84
29/02/2004,7.36,6.99
31/01/2004,7.14,7.36
31/12/2003,7.08,7.38
30/11/2003,7.04,7.34
31/10/2003,6.99,7.09
30/09/2003,6.99,6.79
31/08/2003,6.99,6.92
31/07/2003,7.09,6.24
30/06/2003,7.22,6.19
31/05/2003,7.44,6.46
30/04/2003,7.53,6.89
31/03/2003,7.61,6.97
28/02/2003,7.61,6.98
31/01/2003,7.61,7.19
31/12/2002,7.66,7.22
30/11/2002,7.66,7.11
31/10/2002,7.66,7.19
30/09/2002,7.66,7.37
31/08/2002,7.66,7.42
31/07/2002,7.77,7.61
30/06/2002,7.58,7.86
31/05/2002,7.58,7.89
30/04/2002,7.3,7.92
31/03/2002,7.03,7.73
28/02/2002,6.62,7.15
31/01/2002,6.67,7.02
31/12/2001,6.67,6.94
30/11/2001,6.67,6.66
31/10/2001,7.09,6.79
30/09/2001,7.17,7.02
31/08/2001,7.62,7.46
31/07/2001,7.62,7.59
30/06/2001,7.62,7.41
31/05/2001,7.62,7.19
30/04/2001,7.87,7.17
31/03/2001,8.15,7.02
28/02/2001,8.32,7.17
31/01/2001,8.32,7.36
31/12/2000,8.41,7.93
30/11/2000,8.41,8.07
31/10/2000,8.41,8.14
30/09/2000,8.41,8.24
31/08/2000,8.56,8.26
31/07/2000,8.68,8.33
30/06/2000,8.68,8.56
31/05/2000,8.54,8.7
30/04/2000,8.01,8.54
31/03/2000,7.95,8.56
29/02/2000,7.51,8.64
31/01/2000,7.37,8.43
31/12/1999,7.05,8.27
30/11/1999,6.64,7.95
31/10/1999,6.62,7.92
30/09/1999,6.48,7.77
31/08/1999,6.41,7.63
31/07/1999,6.39,7.06
30/06/1999,6.38,7.02
31/05/1999,6.4,6.77
30/04/1999,6.4,6.64
31/03/1999,6.42,6.66
28/02/1999,6.4,6.8
31/01/1999,6.41,6.93
31/12/1998,6.46,6.93
30/11/1998,6.58,6.99
31/10/1998,7.18,7.22
30/09/1998,8.17,7.87
31/08/1998,9.08,8.29
31/07/1998,10.15,9.03
30/06/1998,11.15,9.8
