"date","Area_Name","Area_Type","Mortgage Affordability Index","Deposit Affordability Index","Rent Affordability Index"
2004-06-30,"Tasman District","TA",0.7297,0.9011,0.9558
2004-06-30,"Taupo District","TA",0.6839,0.8447,0.9742
2004-06-30,"Tauranga City","TA",0.7032,0.8685,0.9404
2004-06-30,"Thames Coromandel District","TA",0.7692,0.95,1.061
2004-06-30,"Timaru District","TA",0.9342,1.1538,0.9454
2004-06-30,"Upper Hutt City","TA",0.9287,1.1469,1.0614
2004-06-30,"Waikato District","TA",0.9124,1.1267,1.0554
2004-06-30,"Waimakariri District","TA",0.9296,1.1481,0.9836
2004-06-30,"Waimate District","TA",0.9149,1.1299,1.0322
2004-06-30,"Waipa District","TA",0.9603,1.1859,1.0243
2004-06-30,"Wairoa District","TA",0.9785,1.2084,1.0773
2004-06-30,"Waitaki District","TA",0.824,1.0176,1.0796
2004-06-30,"Waitomo District","TA",1.0288,1.2706,1.0696
2004-06-30,"Wellington City","TA",0.8341,1.0301,1.0268
2004-06-30,"Western Bay of Plenty District","TA",0.7357,0.9086,0.9636
2004-06-30,"Westland District","TA",0.9793,1.2094,1.0348
2004-06-30,"Whakatane District","TA",0.8906,1.0999,1.0005
2004-06-30,"Whanganui District","TA",1.0076,1.2443,1.0012
2004-06-30,"Whangarei District","TA",0.8782,1.0845,1.0299
2004-06-30,"Auckland","Reg",0.8683,1.0723,0.9522
2004-06-30,"Bay of Plenty","Reg",0.8002,0.9882,0.9728
2004-06-30,"Canterbury","Reg",0.8945,1.1047,0.9053
2004-06-30,"Gisborne","Reg",0.9124,1.1268,1.0461
2004-06-30,"Hawke's Bay","Reg",0.7758,0.9582,0.9895
2004-06-30,"Manawatu-Wanganui","Reg",0.9598,1.1854,0.9751
2004-06-30,"Marlborough","Reg",0.7211,0.8905,0.9257
2004-06-30,"Nelson","Reg",0.7452,0.9203,0.9841
2004-06-30,"Northland","Reg",0.8918,1.1014,1.0297
2004-06-30,"Otago","Reg",0.8169,1.0089,0.9544
2004-06-30,"Southland","Reg",0.9663,1.1934,0.9064
2004-06-30,"Taranaki","Reg",0.9619,1.188,1.0097
2004-06-30,"Tasman","Reg",0.7297,0.9011,0.9559
2004-06-30,"Waikato","Reg",0.8629,1.0657,0.9705
2004-06-30,"Wellington","Reg",0.8691,1.0734,1.0231
2004-06-30,"West Coast","Reg",1.0042,1.2402,0.9894
2004-09-30,"Ashburton District","TA",0.9465,1.223,1.0626
2004-09-30,"Buller District","TA",0.8945,1.1558,1.052
2004-09-30,"Carterton District","TA",0.8708,1.1252,1.0377
2004-09-30,"Central Hawkes Bay District","TA",0.8315,1.0744,0.948
2004-09-30,"Central Otago District","TA",0.7365,0.9517,0.8813
2004-09-30,"Christchurch City","TA",0.7936,1.0255,0.918
2004-09-30,"Clutha District","TA",0.8938,1.155,1.0687
2004-09-30,"Dunedin City","TA",0.7394,0.9554,1.0258
2004-09-30,"Far North District","TA",0.8106,1.0475,1.0292
2004-09-30,"Gisborne District","TA",0.8473,1.0949,1.0227
2004-09-30,"Gore District","TA",1.0681,1.3802,1.0294
2004-09-30,"Grey District","TA",0.8251,1.0662,0.9442
2004-09-30,"Hamilton City","TA",0.8539,1.1033,0.9311
2004-09-30,"Hastings District","TA",0.7358,0.9508,0.9815
2004-09-30,"Hauraki District","TA",0.9102,1.1762,1.1193
2004-09-30,"Horowhenua District","TA",0.9145,1.1817,1.0597
2004-09-30,"Hurunui District","TA",0.8729,1.1279,1.0286
2004-09-30,"Invercargill City","TA",0.9134,1.1802,0.8973
2004-09-30,"Kaikoura District","TA",0.6424,0.8301,0.9466
2004-09-30,"Kaipara District","TA",0.8672,1.1206,1.2033
2004-09-30,"Kapiti Coast District","TA",0.8392,1.0844,1.0198
2004-09-30,"Kawerau District","TA",0.9965,1.2877,1.1828
2004-09-30,"Hutt City","TA",0.8568,1.1071,1.0511
2004-09-30,"MacKenzie District","TA",0.7768,1.0037,0.9296
2004-09-30,"Manawatu District","TA",0.9296,1.2012,1.0161
2004-09-30,"Marlborough District","TA",0.7082,0.9151,0.9248
2004-09-30,"Masterton District","TA",0.8302,1.0728,1.0698
2004-09-30,"Matamata Piako District","TA",1.011,1.3063,1.1236
2004-09-30,"Napier City","TA",0.6804,0.8791,0.9666
2004-09-30,"Nelson City","TA",0.7284,0.9413,1.0052
2004-09-30,"New Plymouth District","TA",0.7964,1.029,0.9673
2004-09-30,"New Zealand","NZ",0.8082,1.0444,0.9759
2004-09-30,"Opotiki District","TA",0.8683,1.122,1.0512
2004-09-30,"Otorohanga District","TA",1.0152,1.3118,1.0315
2004-09-30,"Palmerston North City","TA",0.8382,1.083,0.9693
2004-09-30,"Porirua City","TA",0.8721,1.1269,1.0443
2004-09-30,"Queenstown Lakes District","TA",0.7008,0.9056,0.8613
2004-09-30,"Rangitikei District","TA",0.9886,1.2774,1.0152
2004-09-30,"Rotorua District","TA",0.907,1.172,1.0333
2004-09-30,"Ruapehu District","TA",1.1804,1.5252,1.0241
2004-09-30,"Selwyn District","TA",1.0208,1.3191,1.0168
2004-09-30,"South Taranaki District","TA",1.163,1.5028,1.1652
2004-09-30,"South Waikato District","TA",1.1238,1.4521,1.0025
2004-09-30,"South Wairarapa District","TA",0.8988,1.1614,1.0132
2004-09-30,"Southland District","TA",0.9262,1.1968,1.0148
2004-09-30,"Stratford District","TA",1.186,1.5325,1.1313
2004-09-30,"Tararua District","TA",1.0324,1.334,1.0922
2004-09-30,"Tasman District","TA",0.6924,0.8947,0.9864
2004-09-30,"Taupo District","TA",0.645,0.8335,0.9763
2004-09-30,"Tauranga City","TA",0.6536,0.8446,0.9596
2004-09-30,"Thames Coromandel District","TA",0.705,0.911,1.0542
2004-09-30,"Timaru District","TA",0.8595,1.1107,0.9959
2004-09-30,"Upper Hutt City","TA",0.865,1.1177,1.0578
2004-09-30,"Waikato District","TA",0.8687,1.1225,1.0204
2004-09-30,"Waimakariri District","TA",0.8798,1.1368,0.9882
2004-09-30,"Waimate District","TA",0.8428,1.0891,0.9708
2004-09-30,"Waipa District","TA",0.8972,1.1593,1.0259
2004-09-30,"Wairoa District","TA",0.9327,1.2053,1.1085
2004-09-30,"Waitaki District","TA",0.7912,1.0224,1.1134
2004-09-30,"Waitomo District","TA",0.9079,1.1732,1.0506
2004-09-30,"Wellington City","TA",0.7933,1.0251,1.0383
2004-09-30,"Western Bay of Plenty District","TA",0.7295,0.9426,1.008
2004-09-30,"Westland District","TA",0.9482,1.2253,1.0157
2004-09-30,"Whakatane District","TA",0.8214,1.0613,0.9471
2004-09-30,"Whanganui District","TA",0.9295,1.2011,1.0054
2004-09-30,"Whangarei District","TA",0.8264,1.0679,1.0317
2004-09-30,"Auckland","Reg",0.8231,1.0635,0.971
2004-09-30,"Bay of Plenty","Reg",0.7346,0.9492,0.9832
2004-09-30,"Canterbury","Reg",0.8375,1.0822,0.9257
2004-09-30,"Gisborne","Reg",0.8542,1.1038,1.0227
2004-09-30,"Hawke's Bay","Reg",0.7137,0.9223,0.9787
2004-09-30,"Manawatu-Wanganui","Reg",0.8893,1.1491,0.9825
