Suburb,Average property value,6-month change %,6-month change $
Whakamarama,"$1,553,000",1.9,29000
Coastlands,"$988,000",0.1,1000
Edgecumbe,"$649,000",1.25,8000
Ohope,"$1,300,000",3.83,48000
Whakatane,"$671,000",-0.15,-1000
Allenton,"$650,000",-0.46,-3000
Ashburton,"$532,000",1.14,6000
Elgin,"$1,002,000",1.21,12000
Hampstead,"$465,000",-0.64,-3000
Huntingdon,"$1,142,000",0.62,7000
Methven,"$769,000",1.32,10000
Netherby,"$573,000",-0.52,-3000
Rakaia,"$588,000",1.2,7000
Tinwald,"$644,000",2.55,16000
Addington,"$568,000",1.79,10000
Aidanfield,"$940,000",1.4,13000
Akaroa,"$1,087,000",1.12,12000
Aranui,"$492,000",-1.4,-7000
Avondale,"$577,000",0.35,2000
Avonhead,"$852,000",2.28,19000
Avonside,"$555,000",1.09,6000
Beckenham,"$895,000",2.05,18000
Belfast,"$719,000",2.71,19000
Bishopdale,"$701,000",1.74,12000
Bromley,"$539,000",0.94,5000
Broomfield,"$710,000",0.42,3000
Bryndwr,"$818,000",0.49,4000
Burnside,"$907,000",1,9000
Burwood,"$712,000",1.42,10000
Casebrook,"$865,000",0.58,5000
Cashmere,"$1,157,000",-1.11,-13000
Christchurch Central,"$692,000",0.87,6000
Cracroft,"$1,221,000",3.39,40000
Dallington,"$610,000",0.33,2000
Diamond Harbour,"$794,000",-0.13,-1000
Edgeware,"$566,000",0.71,4000
Fendalton,"$1,793,000",0.62,11000
Halswell,"$876,000",2.22,19000
Harewood,"$1,132,000",1.34,15000
Heathcote Valley,"$834,000",-0.71,-6000
Hei Hei,"$628,000",0.64,4000
Hillmorton,"$696,000",0,0
Hillsborough,"$843,000",1.81,15000
Hoon Hay,"$682,000",1.79,12000
Hornby,"$613,000",0.33,2000
Huntsbury,"$1,158,000",0.78,9000
Ilam,"$962,000",1.58,15000
Islington,"$591,000",0.85,5000
Kennedys Bush,"$1,812,000",0.06,1000
Linwood,"$504,000",2.44,12000
Lyttelton,"$771,000",-0.64,-5000
Mairehau,"$673,000",0.3,2000
Marshland,"$1,103,000",-0.09,-1000
Merivale,"$1,628,000",3.04,48000
Mount Pleasant,"$1,176,000",0.77,9000
New Brighton,"$567,000",1.07,6000
North New Brighton,"$601,000",1.35,8000
Northcote,"$587,000",0.51,3000
Northwood,"$1,070,000",-1.02,-11000
Opawa,"$797,000",0.25,2000
Papanui,"$784,000",0.77,6000
Parklands,"$773,000",2.52,19000
Phillipstown,"$456,000",-2.36,-11000
Redcliffs,"$1,221,000",1.67,20000
Redwood,"$679,000",-0.88,-6000
Riccarton,"$767,000",1.46,11000
Richmond,"$578,000",0.35,2000
Russley,"$726,000",0.69,5000
Saint Martins,"$780,000",1.43,11000
Shirley,"$647,000",-1.22,-8000
Sockburn,"$631,000",1.12,7000
Somerfield,"$761,000",2.28,17000
South New Brighton,"$634,000",1.12,7000
Southshore,"$731,000",0.14,1000
Spreydon,"$645,000",2.06,13000
St Albans,"$913,000",2.7,24000
Strowan,"$1,248,000",0.4,5000
Sumner,"$1,222,000",1.58,19000
Sydenham,"$575,000",0.35,2000
Templeton,"$814,000",-0.37,-3000
Upper Riccarton,"$717,000",4.37,30000
Waimairi Beach,"$987,000",-0.8,-8000
Wainoni,"$528,000",-0.38,-2000
Waltham,"$517,000",-1.15,-6000
Westmorland,"$1,191,000",0.76,9000
Wigram,"$884,000",1.38,12000
Woolston,"$563,000",-2.93,-17000
Yaldhurst,"$998,000",0.4,4000
Amberley,"$742,000",-0.93,-7000
Hanmer Springs,"$854,000",-0.23,-2000
Leithfield,"$667,000",-2.06,-14000
Kaikoura,"$763,000",-0.39,-3000
Fairlie,"$572,000",2.33,13000
Lake Tekapo,"$1,212,000",2.36,28000
Twizel,"$795,000",1.53,12000
Darfield,"$872,000",3.32,28000
Kirwee,"$1,012,000",-1.84,-19000
Leeston,"$775,000",-0.39,-3000
Lincoln,"$1,035,000",1.57,16000
Prebbleton,"$1,337,000",2.14,28000
Rolleston,"$867,000",0.46,4000
Southbridge,"$669,000",2.14,14000
Springston,"$1,027,000",1.99,20000
Tai Tapu,"$1,547,000",3,45000
West Melton,"$1,324,000",0.53,7000
Geraldine,"$627,000",1.13,7000
Gleniti,"$822,000",-0.12,-1000
Glenwood,"$550,000",0.55,3000
Highfield,"$615,000",1.49,9000
Kensington,"$464,000",1.31,6000
Maori Hill,"$581,000",0,0
Marchwiel,"$525,000",0.57,3000
Oceanview,"$642,000",0.47,3000
Parkside,"$464,000",-0.64,-3000
Pleasant Point,"$611,000",1.16,7000
Seaview,"$478,000",-0.21,-1000
Temuka,"$537,000",2.29,12000
Waimataitai,"$519,000",0.97,5000
Watlington,"$481,000",0.63,3000
West End,"$495,000",-0.6,-3000
Cust,"$1,097,000",1.67,18000
Eyrewell,"$1,081,000",1.31,14000
Fernside,"$1,310,000",0.46,6000
Kaiapoi,"$702,000",1.15,8000
Loburn,"$1,187,000",-0.75,-9000
Ohoka,"$1,521,000",1,15000
Oxford,"$713,000",0.42,3000
Pegasus,"$848,000",-0.24,-2000
Rangiora,"$732,000",2.38,17000
Sefton,"$1,016,000",0,0
Swannanoa,"$1,329,000",1.53,20000
Waikuku Beach,"$687,000",-2.41,-17000
Woodend,"$742,000",1.23,9000
Waimate,"$524,000",0.38,2000
Elgin,"$496,000",5.31,25000
Gisborne,"$574,000",4.36,24000
Inner Kaiti,"$727,000",3.71,26000
Kaiti,"$521,000",1.17,6000
Lytton West,"$923,000",2.9,26000
Makauri,"$1,359,000",3.66,48000
Mangapapa,"$642,000",2.39,15000
Outer Kaiti,"$511,000",2.61,13000
Riverdale,"$798,000",2.97,23000
Te Hapara,"$578,000",2.3,13000
Whataupoko,"$829,000",1.1,9000
Otane,"$773,000",1.31,10000
Waipawa,"$643,000",1.42,9000
Waipukurau,"$626,000",-1.42,-9000
Akina,"$610,000",-2.24,-14000
Camberley,"$537,000",-1.1,-6000
Clive,"$902,000",-0.88,-8000
Eskdale,"$1,386,000",2.51,34000
Flaxmere,"$477,000",-4.22,-21000
Frimley,"$876,000",-2.88,-26000
Hastings,"$600,000",-0.5,-3000
Haumoana,"$1,193,000",-0.33,-4000
Havelock North,"$1,153,000",-3.11,-37000
Mahora,"$698,000",-1.69,-12000
Mayfair,"$619,000",-1.28,-8000
Parkvale,"$659,000",-2.51,-17000
Puketapu,"$1,400,000",0.14,2000
Raureka,"$612,000",-1.61,-10000
Saint Leonards,"$600,000",-1.32,-8000
Tangoio,"$1,028,000",-0.29,-3000
Ahuriri,"$1,148,000",4.55,50000
Awatoto,"$893,000",1.13,10000
Bay View,"$1,016,000",0.4,4000
Bluff Hill,"$963,000",2.99,28000
Greenmeadows,"$816,000",3.95,31000
Hospital Hill,"$932,000",3.1,28000
Maraenui,"$490,000",2.08,10000
Marewa,"$576,000",2.13,12000
Napier South,"$669,000",1.98,13000
Onekawa,"$596,000",2.05,12000
Pirimai,"$621,000",0.65,4000
Poraiti,"$1,236,000",1.31,16000
Tamatea,"$630,000",3.11,19000
Taradale,"$831,000",1.47,12000
Te Awa,"$802,000",0.12,1000
Westshore,"$1,042,000",3.27,33000
Wairoa,"$310,000",-2.21,-7000
Foxton,"$500,000",-1.57,-8000
Foxton Beach,"$592,000",-3.11,-19000
Levin,"$583,000",0.17,1000
Manakau,"$910,000",-1.3,-12000
Ohau,"$960,000",-1.03,-10000
Shannon,"$473,000",-0.63,-3000
Tokomaru,"$651,000",-1.66,-11000
Waitarere Beach,"$607,000",-0.49,-3000
Ashhurst,"$712,000",0.56,4000
Bunnythorpe,"$892,000",0.34,3000
Feilding,"$662,000",0.91,6000
Halcombe,"$828,000",1.97,16000
Rongotea,"$731,000",3.1,22000
Sanson,"$670,000",2.92,19000
Aokautere,"$1,157,000",-0.43,-5000
Awapuni,"$613,000",-0.97,-6000
Cloverlea,"$542,000",-2.17,-12000
Fitzherbert,"$912,000",-2.46,-23000
Highbury,"$517,000",-1.71,-9000
Hokowhitu,"$784,000",-0.63,-5000
Kelvin Grove,"$795,000",-0.75,-6000
Milson,"$620,000",0,0
Palmerston North,"$605,000",-0.98,-6000
Roslyn,"$540,000",-0.37,-2000
Takaro,"$546,000",-1.09,-6000
Terrace End,"$620,000",-2.05,-13000
West End,"$581,000",-1.69,-10000
Westbrook,"$558,000",-1.24,-7000
Bulls,"$549,000",1.48,8000
Marton,"$503,000",2.65,13000
Taihape,"$389,000",0.78,3000
Ohakune,"$474,000",-2.27,-11000
Taumarunui,"$362,000",1.69,6000
Dannevirke,"$482,000",-1.03,-5000
Eketahuna,"$425,000",1.92,8000
Pahiatua,"$500,000",1.83,9000
Woodville,"$469,000",5.16,23000
Aramoho,"$491,000",-2.58,-13000
Castlecliff,"$450,000",0.67,3000
College Estate,"$601,000",-2.12,-13000
Durie Hill,"$611,000",-0.65,-4000
Gonville,"$443,000",-1.12,-5000
Otamatea,"$903,000",-0.33,-3000
Saint Johns Hill,"$691,000",0.58,4000
Springvale,"$587,000",-0.84,-5000
Tawhero,"$543,000",-0.18,-1000
Westmere,"$1,052,000",2.04,21000
Whanganui,"$416,000",-3.26,-14000
Whanganui East,"$464,000",0,0
Blenheim,"$603,000",2.03,12000
Burleigh,"$1,018,000",0.99,10000
Havelock,"$698,000",2.2,15000
Mayfield,"$561,000",0.54,3000
Picton,"$662,000",4.09,26000
Redwoodtown,"$600,000",0.84,5000
Renwick,"$768,000",1.59,12000
Riversdale,"$544,000",-0.73,-4000
Springlands,"$831,000",1.47,12000
Waikawa,"$954,000",2.14,20000
Witherlea,"$746,000",0,0
Atawhai,"$919,000",-0.54,-5000
Enner Glynn,"$876,000",-1.02,-9000
Marybank,"$912,000",0.22,2000
