Suburb,Local_authority,Average_property_value,Date
Swannanoa,Waimakariri,1313000,2024-02-01
Grafton,Auckland City,669000,2024-02-01
One Tree Hill,Auckland City,1373000,2024-02-01
Manurewa East,Auckland Manukau,753000,2024-02-01
Milford,Auckland North Shore,1805000,2024-02-01
Sunnynook,Auckland North Shore,1206000,2024-02-01
Takanini,Auckland Papakura,945000,2024-02-01
Kennedys Bush,Christchurch,1757000,2024-02-01
Redcliffs,Christchurch,1188000,2024-02-01
Waipapa,Far North,1073000,2024-02-01
Maungaturoto,Kaipara,757000,2024-02-01
Waterloo,Lower Hutt,844000,2024-02-01
Onekawa,Napier,598000,2024-02-01
Whitby,Porirua,986000,2024-02-01
Cust,Waimakariri,1069000,2024-02-01
Holmes Hill,Waitaki,584000,2024-02-01
Karori,Wellington,1067000,2024-02-01
Seatoun,Wellington,1756000,2024-02-01
Whakatane,Whakatane,703000,2024-02-01
Onehunga,Auckland City,1162000,2024-02-01
Onetangi,Auckland City,1903000,2024-02-01
Patumahoe,Auckland Franklin,1257000,2024-02-01
Albany,Auckland North Shore,1137000,2024-02-01
Albany Heights,Auckland North Shore,1438000,2024-02-01
Bayview,Auckland North Shore,1019000,2024-02-01
Forrest Hill,Auckland North Shore,1414000,2024-02-01
Opaheke,Auckland Papakura,1092000,2024-02-01
Green Bay,Auckland Waitakere,1204000,2024-02-01
Sunnyvale,Auckland Waitakere,903000,2024-02-01
Redwood,Christchurch,665000,2024-02-01
Sumner,Christchurch,1169000,2024-02-01
Sydenham,Christchurch,571000,2024-02-01
Dunedin Central,Dunedin,704000,2024-02-01
Mornington,Dunedin,574000,2024-02-01
Chedworth,Hamilton,917000,2024-02-01
Dargaville,Kaipara,535000,2024-02-01
Halcombe,Manawatu,825000,2024-02-01
Enner Glynn,Nelson,888000,2024-02-01
Frankton,Queenstown-Lakes,1241000,2024-02-01
Rolleston,Selwyn,867000,2024-02-01
Trentham,Upper Hutt,698000,2024-02-01
Hataitai,Wellington,1181000,2024-02-01
Rakaia,Ashburton,550000,2024-02-01
Wai o Taiki Bay,Auckland City,1582000,2024-02-01
Huapai,Auckland Rodney,1267000,2024-02-01
Wainui,Auckland Rodney,1479000,2024-02-01
Diamond Harbour,Christchurch,774000,2024-02-01
Edgeware,Christchurch,561000,2024-02-01
Claudelands,Hamilton,769000,2024-02-01
Roslyn,Palmerston North,553000,2024-02-01
Ranui,Porirua,642000,2024-02-01
Redwood Valley,Tasman,1558000,2024-02-01
Taupo,Taupo,738000,2024-02-01
Whitianga,Thames-Coromandel,1040000,2024-02-01
Pinehaven,Upper Hutt,770000,2024-02-01
Brooklyn,Wellington,1096000,2024-02-01
Eden Terrace,Auckland City,806000,2024-02-01
East Tamaki,Auckland Manukau,1150000,2024-02-01
Flat Bush,Auckland Manukau,1374000,2024-02-01
Henderson Valley,Auckland Waitakere,1327000,2024-02-01
Halswell,Christchurch,849000,2024-02-01
Lyttelton,Christchurch,784000,2024-02-01
Northcote,Christchurch,589000,2024-02-01
Sockburn,Christchurch,622000,2024-02-01
Amberley,Hurunui,742000,2024-02-01
Strandon,New Plymouth,979000,2024-02-01
Pahiatua,Tararua,481000,2024-02-01
Motueka,Tasman,725000,2024-02-01
Kinloch,Taupo,1361000,2024-02-01
Clouston Park,Upper Hutt,665000,2024-02-01
Edgecumbe,Whakatane,667000,2024-02-01
Netherby,Ashburton,550000,2024-02-01
Otahuhu,Auckland City,794000,2024-02-01
Maraetai,Auckland Manukau,1546000,2024-02-01
Murrays Bay,Auckland North Shore,1794000,2024-02-01
Windsor Park,Auckland North Shore,1377000,2024-02-01
Helensville,Auckland Rodney,1168000,2024-02-01
Huntsbury,Christchurch,1157000,2024-02-01
Shirley,Christchurch,649000,2024-02-01
Somerfield,Christchurch,740000,2024-02-01
South Dunedin,Dunedin,413000,2024-02-01
Elgin,Gisborne,475000,2024-02-01
Mangapapa,Gisborne,639000,2024-02-01
Foxton,Horowhenua,511000,2024-02-01
Waitarere Beach,Horowhenua,650000,2024-02-01
Hanmer Springs,Hurunui,830000,2024-02-01
Otaki Beach,Kapiti Coast,617000,2024-02-01
Washington Valley,Nelson,612000,2024-02-01
West Melton,Selwyn,1331000,2024-02-01
Putaruru,South Waikato,547000,2024-02-01
Thames,Thames-Coromandel,741000,2024-02-01
Geraldine,Timaru,607000,2024-02-01
Silverstream,Upper Hutt,873000,2024-02-01
Khandallah,Wellington,1261000,2024-02-01
Mount Cook,Wellington,784000,2024-02-01
Strathmore Park,Wellington,1052000,2024-02-01
Hillsborough,Auckland City,1326000,2024-02-01
Mairangi Bay,Auckland North Shore,1777000,2024-02-01
Conifer Grove,Auckland Papakura,1036000,2024-02-01
Burwood,Christchurch,693000,2024-02-01
North New Brighton,Christchurch,590000,2024-02-01
Richmond,Christchurch,578000,2024-02-01
Kaitangata,Clutha,290000,2024-02-01
Mosgiel,Dunedin,717000,2024-02-01
Dinsdale,Hamilton,718000,2024-02-01
Enderley,Hamilton,625000,2024-02-01
Ngatea,Hauraki,730000,2024-02-01
Paraparaumu,Kapiti Coast,781000,2024-02-01
Stoke,Nelson,740000,2024-02-01
Toi Toi,Nelson,543000,2024-02-01
