Suburb,Local_authority,Average_property_value,Date
Flagstaff,Hamilton,1136000,2024-04-01
Castor Bay,Auckland North Shore,1958000,2024-04-01
Papamoa,Western Bay of Plenty,921000,2024-04-01
Mangapapa,Gisborne,647000,2024-04-01
Nelson,Nelson,1139000,2024-04-01
Claudelands,Hamilton,769000,2024-04-01
Waipahihi,Taupo,1100000,2024-04-01
Paraparaumu Beach,Kapiti Coast,876000,2024-04-01
Hutt Central,Lower Hutt,1007000,2024-04-01
Hataitai,Wellington,1204000,2024-04-01
Grey Lynn,Auckland City,1808000,2024-04-01
Kohimarama,Auckland City,2232000,2024-04-01
Clarks Beach,Auckland Franklin,1193000,2024-04-01
Sunnyvale,Auckland Waitakere,900000,2024-04-01
Frimley,Hastings,883000,2024-04-01
Winton,Southland,606000,2024-04-01
Silverdale,Hamilton,732000,2024-04-01
Surfdale,Auckland City,1373000,2024-04-01
Pomare,Rotorua,741000,2024-04-01
Brookfield,Tauranga,816000,2024-04-01
Havelock North,Hastings,1233000,2024-04-01
Takaro,Palmerston North,560000,2024-04-01
Parahaki,Whangarei,761000,2024-04-01
Mosgiel,Dunedin,719000,2024-04-01
Waverley,Invercargill,570000,2024-04-01
Hawera,South Taranaki,548000,2024-04-01
Fairfield,Hamilton,772000,2024-04-01
Te Aroha,Matamata-Piako,698000,2024-04-01
Panmure,Auckland City,1032000,2024-04-01
Wiri,Auckland Manukau,683000,2024-04-01
Bayswater,Auckland North Shore,1751000,2024-04-01
Western Heights,Rotorua,524000,2024-04-01
Yaldhurst,Christchurch,982000,2024-04-01
Terrace End,Palmerston North,643000,2024-04-01
Saint Kilda,Dunedin,503000,2024-04-01
Gore,Gore,473000,2024-04-01
Hargest,Invercargill,529000,2024-04-01
Meadowbank,Auckland City,1677000,2024-04-01
Morningside,Auckland City,1302000,2024-04-01
Patumahoe,Auckland Franklin,1253000,2024-04-01
Hillcrest,Auckland North Shore,1231000,2024-04-01
Sunnynook,Auckland North Shore,1198000,2024-04-01
Parkvale,Tauranga,658000,2024-04-01
Tauranga South,Tauranga,918000,2024-04-01
Gleniti,Timaru,822000,2024-04-01
Saint Leonards,Hastings,612000,2024-04-01
Otautau,Southland,399000,2024-04-01
Whalers Gate,New Plymouth,787000,2024-04-01
Hamilton East,Hamilton,735000,2024-04-01
Deanwell,Waipa,645000,2024-04-01
Waikanae,Kapiti Coast,923000,2024-04-01
Hauraki,Auckland North Shore,2005000,2024-04-01
Huapai,Auckland Rodney,1258000,2024-04-01
Orewa,Auckland Rodney,1254000,2024-04-01
Fairy Springs,Rotorua,562000,2024-04-01
Otumoetai,Tauranga,1075000,2024-04-01
Ohauiti,Western Bay of Plenty,1130000,2024-04-01
Pukehina,Western Bay of Plenty,1263000,2024-04-01
Hanmer Springs,Hurunui,815000,2024-04-01
Kelvin Grove,Palmerston North,807000,2024-04-01
Huntington,Hamilton,1064000,2024-04-01
Taupo,Taupo,751000,2024-04-01
Manukau,Auckland Manukau,629000,2024-04-01
Swanson,Auckland Waitakere,1186000,2024-04-01
Mahora,Hastings,710000,2024-04-01
Richmond Heights,Taupo,794000,2024-04-01
Bucklands Beach,Auckland Manukau,1748000,2024-04-01
Pakuranga,Auckland Manukau,1169000,2024-04-01
Narrow Neck,Auckland North Shore,1989000,2024-04-01
Netherby,Ashburton,561000,2024-04-01
Waipawa,Central Hawke's Bay,653000,2024-04-01
Waipukurau,Central Hawke's Bay,656000,2024-04-01
Grasmere,Invercargill,465000,2024-04-01
Hurdon,New Plymouth,819000,2024-04-01
Rototuna North,Hamilton,1033000,2024-04-01
Takapuna,Auckland North Shore,2208000,2024-04-01
Omaha,Auckland Rodney,2750000,2024-04-01
Ngongotaha,Rotorua,699000,2024-04-01
Prebbleton,Selwyn,1285000,2024-04-01
Fitzroy,New Plymouth,927000,2024-04-01
Mission Bay,Auckland City,2227000,2024-04-01
Favona,Auckland Manukau,857000,2024-04-01
Warkworth,Auckland Rodney,1209000,2024-04-01
Hobsonville,Auckland Waitakere,1141000,2024-04-01
Kelston,Auckland Waitakere,902000,2024-04-01
Hairini,Tauranga,782000,2024-04-01
Rangiora,Waimakariri,719000,2024-04-01
Aokautere,Palmerston North,1150000,2024-04-01
Mangawhai Heads,Kaipara,1377000,2024-04-01
North Dunedin,Dunedin,710000,2024-04-01
Lynmouth,New Plymouth,700000,2024-04-01
Upper Vogeltown,New Plymouth,685000,2024-04-01
Dinsdale,Hamilton,722000,2024-04-01
Nawton,Hamilton,669000,2024-04-01
Morrinsville,Matamata-Piako,808000,2024-04-01
Titirangi,Auckland Waitakere,1208000,2024-04-01
Judea,Tauranga,738000,2024-04-01
Rolleston,Selwyn,859000,2024-04-01
Mapua,Tasman,1144000,2024-04-01
Mount Albert,Auckland City,1405000,2024-04-01
Dairy Flat,Auckland Rodney,2342000,2024-04-01
Maori Hill,Timaru,577000,2024-04-01
Hastings,Hastings,605000,2024-04-01
Jacks Point,Queenstown-Lakes,1864000,2024-04-01
Richmond,Invercargill,487000,2024-04-01
Nukuhau,Taupo,900000,2024-04-01
Turangi,Taupo,482000,2024-04-01
Mairangi Bay,Auckland North Shore,1774000,2024-04-01
Matua,Tauranga,1198000,2024-04-01
Allenton,Ashburton,633000,2024-04-01
Horahora,Whangarei,658000,2024-04-01
Patea,South Taranaki,309000,2024-04-01
Queenwood,Hamilton,1014000,2024-04-01
Tawa,Wellington,861000,2024-04-01
Eden Terrace,Auckland City,824000,2024-04-01
Remuera,Auckland City,2693000,2024-04-01
Belmont,Auckland North Shore,1578000,2024-04-01
Milford,Auckland North Shore,1785000,2024-04-01
Lynmore,Rotorua,924000,2024-04-01
Cust,Waimakariri,1062000,2024-04-01
Ohoka,Waimakariri,1491000,2024-04-01
Parkvale,Hastings,669000,2024-04-01
Hokowhitu,Palmerston North,802000,2024-04-01
Frankleigh Park,New Plymouth,703000,2024-04-01
Chartwell,Hamilton,838000,2024-04-01
Manly,Auckland Rodney,1255000,2024-04-01
Stanmore Bay,Auckland Rodney,1071000,2024-04-01
Wellsford,Auckland Rodney,833000,2024-04-01
Laingholm,Auckland Waitakere,1023000,2024-04-01
Highfield,Timaru,606000,2024-04-01
Westbrook,Palmerston North,561000,2024-04-01
Westown,New Plymouth,637000,2024-04-01
Carterton,Carterton,661000,2024-04-01
Masterton,Masterton,550000,2024-04-01
Tauranga,Tauranga,1023000,2024-04-01
Leeston,Selwyn,769000,2024-04-01
Elgin,Gisborne,486000,2024-04-01
Melville,Hamilton,653000,2024-04-01
Avondale,Auckland City,988000,2024-04-01
Epsom,Auckland City,2163000,2024-04-01
Kaukapakapa,Auckland Rodney,1411000,2024-04-01
Whakatane,Whakatane,690000,2024-04-01
Hampstead,Ashburton,454000,2024-04-01
Ashburton,Ashburton,511000,2024-04-01
Ashhurst,Manawatu,716000,2024-04-01
Moturoa,New Plymouth,733000,2024-04-01
Wharewaka,Taupo,1384000,2024-04-01
Raglan,Waikato,1177000,2024-04-01
Owhata,Rotorua,661000,2024-04-01
Lincoln,Selwyn,996000,2024-04-01
West Melton,Selwyn,1335000,2024-04-01
Ahuriri,Napier,1027000,2024-04-01
Otamatea,Whanganui,910000,2024-04-01
Oamaru,Waitaki,436000,2024-04-01
Kihikihi,Waipa,752000,2024-04-01
Paraparaumu,Kapiti Coast,804000,2024-04-01
Petone,Lower Hutt,845000,2024-04-01
Te Atatu Peninsula,Auckland Waitakere,1123000,2024-04-01
Gate Pa,Tauranga,670000,2024-04-01
Greenmeadows,Napier,818000,2024-04-01
Woodhill,Whangarei,597000,2024-04-01
Ngaruawahia,Waikato,758000,2024-04-01
Oneroa,Auckland City,2096000,2024-04-01
Henderson Valley,Auckland Waitakere,1319000,2024-04-01
Bulls,Rangitikei,562000,2024-04-01
Paihia,Far North,833000,2024-04-01
Stillwater,Auckland Rodney,1606000,2024-04-01
Pyes Pa,Western Bay of Plenty,1125000,2024-04-01
Flaxmere,Hastings,479000,2024-04-01
Kuripuni,Masterton,556000,2024-04-01
Westgate,Auckland Waitakere,928000,2024-04-01
Welcome Bay,Western Bay of Plenty,907000,2024-04-01
Raureka,Hastings,618000,2024-04-01
East Gore,Gore,392000,2024-04-01
Weymouth,Auckland Manukau,790000,2024-04-01
Northcote,Auckland North Shore,1237000,2024-04-01
Gulf Harbour,Auckland Rodney,1087000,2024-04-01
Whenuapai,Auckland Waitakere,1246000,2024-04-01
Glenwood,Timaru,544000,2024-04-01
Otane,Central Hawke's Bay,779000,2024-04-01
Awapuni,Palmerston North,622000,2024-04-01
Holmes Hill,Waitaki,567000,2024-04-01
Blagdon,New Plymouth,581000,2024-04-01
New Plymouth,New Plymouth,873000,2024-04-01
Spotswood,New Plymouth,556000,2024-04-01
Maungatapu,Tauranga,907000,2024-04-01
Kirwee,Selwyn,1002000,2024-04-01
Feilding,Manawatu,653000,2024-04-01
Springvale,Whanganui,579000,2024-04-01
Atawhai,Nelson,918000,2024-04-01
Maunu,Whangarei,1002000,2024-04-01
Onerahi,Whangarei,653000,2024-04-01
South Hill,Waitaki,515000,2024-04-01
Richmond,Tasman,839000,2024-04-01
Hamilton Lake,Hamilton,904000,2024-04-01
Pokeno,Waikato,1054000,2024-04-01
Gisborne,Gisborne,552000,2024-04-01
Morningside,Whangarei,566000,2024-04-01
Regent,Whangarei,685000,2024-04-01
Tikipunga,Whangarei,618000,2024-04-01
Whau Valley,Whangarei,690000,2024-04-01
Te Awamutu,Waipa,788000,2024-04-01
Solway,Masterton,628000,2024-04-01
Kingsland,Auckland City,1369000,2024-04-01
Fernside,Waimakariri,1274000,2024-04-01
Te Hapara,Gisborne,575000,2024-04-01
Tahunanui,Nelson,684000,2024-04-01
Glenbrook,Auckland Franklin,1176000,2024-04-01
Devonport,Auckland North Shore,2171000,2024-04-01
Ohau,Horowhenua,1002000,2024-04-01
Havelock,Marlborough,697000,2024-04-01
Merrilands,New Plymouth,779000,2024-04-01
Vogeltown,New Plymouth,607000,2024-04-01
Waitara,New Plymouth,482000,2024-04-01
Hilltop,Taupo,876000,2024-04-01
Pirongia,Waipa,1042000,2024-04-01
Clevedon,Auckland Manukau,2051000,2024-04-01
Victoria,Rotorua,519000,2024-04-01
Tinwald,Ashburton,608000,2024-04-01
Whanganui,Whanganui,404000,2024-04-01
Ngunguru,Whangarei,1022000,2024-04-01
Welbourn,New Plymouth,705000,2024-04-01
Tamahere,Waikato,2044000,2024-04-01
Mount Eden,Auckland City,1786000,2024-04-01
Sandringham,Auckland City,1410000,2024-04-01
Leithfield,Hurunui,669000,2024-04-01
Toi Toi,Nelson,539000,2024-04-01
Hikurangi,Whangarei,578000,2024-04-01
Lansdowne,Masterton,649000,2024-04-01
Ohaupo,Waipa,1270000,2024-04-01
Washington Valley,Nelson,613000,2024-04-01
One Tree Point,Whangarei,1092000,2024-04-01
Te Kamo,Whangarei,752000,2024-04-01
Hope,Tasman,1286000,2024-04-01
Leamington,Waipa,951000,2024-04-01
Mangere East,Auckland Manukau,846000,2024-04-01
Mount Maunganui,Tauranga,1472000,2024-04-01
Sefton,Waimakariri,987000,2024-04-01
Redwoodtown,Marlborough,602000,2024-04-01
Witherlea,Marlborough,757000,2024-04-01
Avenues,Whangarei,551000,2024-04-01
Strandon,New Plymouth,982000,2024-04-01
Tuakau,Waikato,853000,2024-04-01
Ranui,Auckland Waitakere,854000,2024-04-01
Papamoa Beach,Tauranga,1098000,2024-04-01
Manakau,Horowhenua,959000,2024-04-01
The Wood,Nelson,776000,2024-04-01
Kaiwaka,Kaipara,929000,2024-04-01
Frankton,Hamilton,650000,2024-04-01
Acacia Bay,Taupo,1353000,2024-04-01
Drury,Auckland Papakura,1313000,2024-04-01
Waimauku,Auckland Rodney,1596000,2024-04-01
Hospital Hill,Napier,972000,2024-04-01
Pirimai,Napier,620000,2024-04-01
Gonville,Whanganui,430000,2024-04-01
Matamata,Matamata-Piako,816000,2024-04-01
Rangatira Park,Taupo,1009000,2024-04-01
Silverdale,Auckland Rodney,1373000,2024-04-01
Rakaia,Ashburton,558000,2024-04-01
Durie Hill,Whanganui,608000,2024-04-01
Renwick,Marlborough,764000,2024-04-01
Stoke,Nelson,742000,2024-04-01
Waipapa,Far North,1070000,2024-04-01
Kensington,Whangarei,633000,2024-04-01
Opunake,South Taranaki,481000,2024-04-01
Waverley,South Taranaki,408000,2024-04-01
Putaruru,South Waikato,558000,2024-04-01
Pukekohe,Auckland Franklin,933000,2024-04-01
Foxton Beach,Horowhenua,623000,2024-04-01
Waitarere Beach,Horowhenua,640000,2024-04-01
Tawhero,Whanganui,540000,2024-04-01
Stepneyville,Nelson,1208000,2024-04-01
Motueka,Tasman,745000,2024-04-01
Buckland,Waikato,1320000,2024-04-01
Mangere Bridge,Auckland Manukau,1182000,2024-04-01
Picton,Marlborough,649000,2024-04-01
Taupiri,Waikato,1078000,2024-04-01
Kerikeri,Far North,1091000,2024-04-01
Oamaru North,Waitaki,470000,2024-04-01
Ellerslie,Auckland City,1243000,2024-04-01
Hunua,Auckland Franklin,1410000,2024-04-01
Waiuku,Auckland Franklin,874000,2024-04-01
Riverhead,Auckland Rodney,1814000,2024-04-01
Massey,Auckland Waitakere,986000,2024-04-01
Waitakere,Auckland Waitakere,1404000,2024-04-01
Te Kuiti,Waitomo,452000,2024-04-01
Helensville,Auckland Rodney,1171000,2024-04-01
Halcombe,Manawatu,823000,2024-04-01
Waihi,Hauraki,697000,2024-04-01
Papatoetoe,Auckland Manukau,846000,2024-04-01
Waihi Beach,Western Bay of Plenty,1483000,2024-04-01
Eyrewell,Waimakariri,1023000,2024-04-01
Whanganui East,Whanganui,448000,2024-04-01
Kawakawa,Far North,517000,2024-04-01
Ruakaka,Whangarei,903000,2024-04-01
Kinloch,Taupo,1359000,2024-04-01
Edgecumbe,Whakatane,647000,2024-04-01
Tamatea,Napier,621000,2024-04-01
Levin,Horowhenua,591000,2024-04-01
The Brook,Nelson,675000,2024-04-01
Waipu,Whangarei,1140000,2024-04-01
Eltham,South Taranaki,416000,2024-04-01
Wakefield,Tasman,901000,2024-04-01
Ngatea,Hauraki,702000,2024-04-01
Karaka,Auckland Papakura,1632000,2024-04-01
Elgin,Ashburton,971000,2024-04-01
Hamilton Central,Hamilton,747000,2024-04-01
Mangere,Auckland Manukau,883000,2024-04-01
Wainui,Auckland Rodney,1452000,2024-04-01
Oropi,Western Bay of Plenty,1517000,2024-04-01
Nelson South,Nelson,762000,2024-04-01
Highlands Park,New Plymouth,892000,2024-04-01
Onekawa,Napier,594000,2024-04-01
Poraiti,Napier,1242000,2024-04-01
Loburn,Waimakariri,1154000,2024-04-01
Awatoto,Napier,927000,2024-04-01
Balclutha,Clutha,437000,2024-04-01
Temple View,Waipa,1044000,2024-04-01
Haruru,Far North,860000,2024-04-01
Brightwater,Tasman,934000,2024-04-01
Paeroa,Hauraki,576000,2024-04-01
Te Atatu South,Auckland Waitakere,936000,2024-04-01
Karikari Peninsula,Far North,771000,2024-04-01
Dargaville,Kaipara,511000,2024-04-01
Redwood Valley,Tasman,1541000,2024-04-01
Whitiora,Hamilton,637000,2024-04-01
Glen Eden,Auckland Waitakere,856000,2024-04-01
Blenheim,Marlborough,607000,2024-04-01
Riversdale,Marlborough,547000,2024-04-01
Springlands,Marlborough,821000,2024-04-01
Henderson,Auckland Waitakere,951000,2024-04-01
Shannon,Horowhenua,489000,2024-04-01
Whataupoko,Gisborne,825000,2024-04-01
Coromandel,Thames-Coromandel,872000,2024-04-01
Te Kowhai,Waikato,1319000,2024-04-01
Bluff Hill,Napier,1010000,2024-04-01
Whangarei Heads,Whangarei,1077000,2024-04-01
Huntly,Waikato,545000,2024-04-01
Napier South,Napier,676000,2024-04-01
Raumanga,Whangarei,491000,2024-04-01
Milton,Clutha,427000,2024-04-01
Ngahinapouri,Waipa,1351000,2024-04-01
Mayfield,Marlborough,564000,2024-04-01
Greytown,South Wairarapa,977000,2024-04-01
Bay View,Napier,1025000,2024-04-01
Westshore,Napier,1036000,2024-04-01
Foxton,Horowhenua,509000,2024-04-01
Bunnythorpe,Manawatu,871000,2024-04-01
Katikati,Western Bay of Plenty,790000,2024-04-01
Saint Johns Hill,Whanganui,685000,2024-04-01
Matakana,Auckland Rodney,1852000,2024-04-01
Marewa,Napier,572000,2024-04-01
Parua Bay,Whangarei,1115000,2024-04-01
Te Awa,Napier,829000,2024-04-01
Coastlands,Whakatane,990000,2024-04-01
Tasman,Tasman,1507000,2024-04-01
Aongatete,Western Bay of Plenty,1287000,2024-04-01
Marton,Rangitikei,503000,2024-04-01
Te Puke,Western Bay of Plenty,812000,2024-04-01
Taumarunui,Ruapehu,365000,2024-04-01
Kumeu,Auckland Rodney,1514000,2024-04-01
Whatawhata,Waikato,1203000,2024-04-01
Tahawai,Western Bay of Plenty,1244000,2024-04-01
Tokoroa,South Waikato,424000,2024-04-01
Whakamarama,Western Bay of Plenty,1500000,2024-04-01
Maraenui,Napier,476000,2024-04-01
Maungatapere,Whangarei,1040000,2024-04-01
Hamurana,Rotorua,1213000,2024-04-01
Omokoroa,Western Bay of Plenty,1122000,2024-04-01
Whangamata,Thames-Coromandel,1417000,2024-04-01
Cambridge,Waipa,1182000,2024-04-01
Athenree,Western Bay of Plenty,1098000,2024-04-01
Minden,Western Bay of Plenty,1585000,2024-04-01
Martinborough,South Wairarapa,1006000,2024-04-01
Opotiki,Opotiki,464000,2024-04-01
Point England,Auckland City,995000,2024-04-01
Kaitaia,Far North,444000,2024-04-01
Tairua,Thames-Coromandel,1141000,2024-04-01
Featherston,South Wairarapa,604000,2024-04-01
Whitianga,Thames-Coromandel,1063000,2024-04-01
Thames,Thames-Coromandel,740000,2024-04-01
Te Kauwhata,Waikato,814000,2024-04-01
Matarangi,Thames-Coromandel,1166000,2024-04-01
Wairoa,Wairoa,338000,2024-04-01
Otorohanga,Otorohanga,624000,2024-04-01
Kauri,Whangarei,1043000,2024-04-01
Coatesville,Auckland Rodney,3479000,2024-04-01
Pauanui,Thames-Coromandel,1558000,2024-04-01
Glenbervie,Whangarei,1162000,2024-04-01
Appleby,Tasman,1037000,2024-04-01
Kawerau,Kawerau,387000,2024-04-01
Ohakune,Ruapehu,489000,2024-04-01
Totara Park,Auckland Manukau,1615000,2024-04-01
Runanga,Grey,301000,2024-11-01
Lake Hayes,Queenstown-Lakes,2813000,2024-11-01
Cobden,Grey,323000,2024-11-01
Richmond Heights,Taupo,815000,2024-11-01
Paroa,Grey,714000,2024-11-01
Motuoapa,Taupo,819000,2024-11-01
Karoro,Grey,611000,2024-11-01
Greymouth,Grey,480000,2024-11-01
Hawthorndale,Invercargill,501000,2024-11-01
Kinloch,Taupo,1406000,2024-11-01
Tauhara,Taupo,622000,2024-11-01
New Lynn,Auckland Waitakere,874000,2024-11-01
Hilltop,Taupo,899000,2024-11-01
Bluff,Invercargill,356000,2024-11-01
Otatara,Invercargill,805000,2024-11-01
Fernside,Waimakariri,1272000,2024-11-01
Arrowtown,Queenstown-Lakes,2799000,2024-11-01
Georgetown,Invercargill,394000,2024-11-01
Blaketown,Grey,336000,2024-11-01
Oneroa,Auckland City,2213000,2024-11-01
Coastlands,Whakatane,1003000,2024-11-01
Waipahihi,Taupo,1128000,2024-11-01
Clyde,Central Otago,990000,2024-11-01
Torbay,Auckland North Shore,1254000,2024-11-01
Kawerau,Kawerau,414000,2024-11-01
Turangi,Taupo,482000,2024-11-01
Maori Hill,Timaru,595000,2024-11-01
Rangatira Park,Taupo,1028000,2024-11-01
Twizel,Mackenzie,787000,2024-11-01
Avenal,Invercargill,496000,2024-11-01
Waverley,Invercargill,580000,2024-11-01
Meadowbank,Auckland City,1671000,2024-11-01
Huapai,Auckland Rodney,1247000,2024-11-01
Point Wells,Auckland Rodney,2334000,2024-11-01
Kennedys Bush,Christchurch,1802000,2024-11-01
Eyrewell,Waimakariri,1029000,2024-11-01
Lower Shotover,Queenstown-Lakes,1818000,2024-11-01
Grasmere,Invercargill,477000,2024-11-01
Taupo,Taupo,752000,2024-11-01
Mairehau,Christchurch,654000,2024-11-01
Lake Tekapo,Mackenzie,1179000,2024-11-01
Saint Kilda,Dunedin,525000,2024-11-01
Bryndwr,Christchurch,805000,2024-11-01
Newfield,Invercargill,463000,2024-11-01
Waikiwi,Invercargill,629000,2024-11-01
Waverley,South Taranaki,425000,2024-11-01
Omaha,Auckland Rodney,2754000,2024-11-01
Rosedale,Invercargill,758000,2024-11-01
Opunake,South Taranaki,491000,2024-11-01
Greenlane,Auckland City,1828000,2024-11-01
Sunnynook,Auckland North Shore,1183000,2024-11-01
Spreydon,Christchurch,635000,2024-11-01
Vogeltown,New Plymouth,621000,2024-11-01
Red Hill,Auckland Papakura,797000,2024-11-01
Parkside,Timaru,466000,2024-11-01
Loburn,Waimakariri,1160000,2024-11-01
Bridge Hill,Central Otago,973000,2024-11-01
Mount Pisa,Central Otago,1516000,2024-11-01
Frankton,Queenstown-Lakes,1300000,2024-11-01
Grey Lynn,Auckland City,1760000,2024-11-01
Leithfield,Hurunui,685000,2024-11-01
Alexandra,Central Otago,788000,2024-11-01
Redwood Valley,Tasman,1621000,2024-11-01
Upper Moutere,Tasman,1319000,2024-11-01
Kensington,Timaru,464000,2024-11-01
Parkvale,Hastings,665000,2024-11-01
Woodville,Tararua,450000,2024-11-01
Te Aroha,Matamata-Piako,688000,2024-11-01
Yaldhurst,Christchurch,983000,2024-11-01
Southbridge,Selwyn,654000,2024-11-01
Cust,Waimakariri,1054000,2024-11-01
Appleby,Invercargill,350000,2024-11-01
Heidelberg,Invercargill,425000,2024-11-01
Rakaia,Ashburton,575000,2024-11-01
Cheviot,Hurunui,520000,2024-11-01
Glenwood,Timaru,555000,2024-11-01
Sefton,Waimakariri,990000,2024-11-01
Waimate,Waimate,519000,2024-11-01
Roxburgh,Central Otago,493000,2024-11-01
Glengarry,Invercargill,449000,2024-11-01
Winton,Southland,628000,2024-11-01
Bell Block,New Plymouth,756000,2024-11-01
Tasman,Tasman,1583000,2024-11-01
Mission Bay,Auckland City,2196000,2024-11-01
Marshland,Christchurch,1090000,2024-11-01
Pahiatua,Tararua,488000,2024-11-01
Nelson South,Nelson,762000,2024-11-01
Ranfurly,Central Otago,465000,2024-11-01
Arthurs Point,Queenstown-Lakes,1669000,2024-11-01
Kingswell,Invercargill,419000,2024-11-01
Strathern,Invercargill,397000,2024-11-01
Te Kuiti,Waitomo,469000,2024-11-01
Papakura,Auckland Papakura,810000,2024-11-01
Mount Maunganui,Tauranga,1488000,2024-11-01
Cracroft,Christchurch,1142000,2024-11-01
Stepneyville,Nelson,1214000,2024-11-01
Queenstown,Queenstown-Lakes,1780000,2024-11-01
Blagdon,New Plymouth,582000,2024-11-01
Fairview Heights,Auckland North Shore,1607000,2024-11-01
Te Atatu South,Auckland Waitakere,929000,2024-11-01
Edgecumbe,Whakatane,645000,2024-11-01
Hillmorton,Christchurch,685000,2024-11-01
Mahora,Hastings,693000,2024-11-01
Mayfair,Hastings,608000,2024-11-01
Wanaka,Queenstown-Lakes,2119000,2024-11-01
Lynmouth,New Plymouth,698000,2024-11-01
Marfell,New Plymouth,479000,2024-11-01
Richmond,Tasman,850000,2024-11-01
Ngatea,Hauraki,723000,2024-11-01
Campbells Bay,Auckland North Shore,2344000,2024-11-01
Te Atatu Peninsula,Auckland Waitakere,1073000,2024-11-01
Lynmore,Rotorua,905000,2024-11-01
Springfield,Rotorua,783000,2024-11-01
Parkvale,Tauranga,670000,2024-11-01
Wainoni,Christchurch,519000,2024-11-01
Temuka,Timaru,525000,2024-11-01
Hastings,Hastings,598000,2024-11-01
Foxton,Horowhenua,506000,2024-11-01
Corstorphine,Dunedin,611000,2024-11-01
Upper Vogeltown,New Plymouth,688000,2024-11-01
Westown,New Plymouth,649000,2024-11-01
Nukuhau,Taupo,896000,2024-11-01
Clover Park,Auckland Manukau,852000,2024-11-01
Redwood,Christchurch,669000,2024-11-01
Russley,Christchurch,712000,2024-11-01
Fairlie,Mackenzie,554000,2024-11-01
Albert Town,Queenstown-Lakes,1633000,2024-11-01
Fitzroy,New Plymouth,953000,2024-11-01
Frankleigh Park,New Plymouth,704000,2024-11-01
Welbourn,New Plymouth,705000,2024-11-01
Hope,Tasman,1274000,2024-11-01
Kohimarama,Auckland City,2199000,2024-11-01
Greenhithe,Auckland North Shore,1778000,2024-11-01
Windsor Park,Auckland North Shore,1352000,2024-11-01
Bethlehem,Tauranga,1108000,2024-11-01
Whakatane,Whakatane,681000,2024-11-01
Heathcote Valley,Christchurch,834000,2024-11-01
Hei Hei,Christchurch,621000,2024-11-01
Prebbleton,Selwyn,1303000,2024-11-01
Highfield,Timaru,611000,2024-11-01
Waimataitai,Timaru,515000,2024-11-01
West End,Timaru,502000,2024-11-01
Akina,Hastings,619000,2024-11-01
Waitarere Beach,Horowhenua,616000,2024-11-01
Forrest Hill,Auckland North Shore,1381000,2024-11-01
Whenuapai,Auckland Waitakere,1236000,2024-11-01
Islington,Christchurch,583000,2024-11-01
Riccarton,Christchurch,763000,2024-11-01
Richmond,Christchurch,579000,2024-11-01
Sumner,Christchurch,1204000,2024-11-01
Amberley,Hurunui,744000,2024-11-01
Ohoka,Waimakariri,1483000,2024-11-01
Marewa,Napier,560000,2024-11-01
Cromwell,Central Otago,1005000,2024-11-01
Tapanui,Clutha,434000,2024-11-01
Windsor,Invercargill,592000,2024-11-01
Moturoa,New Plymouth,752000,2024-11-01
Spotswood,New Plymouth,562000,2024-11-01
Wakefield,Tasman,932000,2024-11-01
Beerescourt,Hamilton,997000,2024-11-01
Glenfield,Auckland North Shore,1025000,2024-11-01
Murrays Bay,Auckland North Shore,1809000,2024-11-01
Rosehill,Auckland Papakura,921000,2024-11-01
Red Beach,Auckland Rodney,1235000,2024-11-01
Ohope,Whakatane,1272000,2024-11-01
Aranui,Christchurch,484000,2024-11-01
Diamond Harbour,Christchurch,785000,2024-11-01
Somerfield,Christchurch,740000,2024-11-01
Rolleston,Selwyn,867000,2024-11-01
Marchwiel,Timaru,525000,2024-11-01
Watlington,Timaru,478000,2024-11-01
Outer Kaiti,Gisborne,498000,2024-11-01
Ohakune,Ruapehu,490000,2024-11-01
Tawa,Wellington,853000,2024-11-01
Mangere East,Auckland Manukau,865000,2024-11-01
Beach Haven,Auckland North Shore,1050000,2024-11-01
Oteha,Auckland North Shore,1175000,2024-11-01
Laingholm,Auckland Waitakere,993000,2024-11-01
Aidanfield,Christchurch,920000,2024-11-01
Phillipstown,Christchurch,461000,2024-11-01
Saint Martins,Christchurch,758000,2024-11-01
Tai Tapu,Selwyn,1478000,2024-11-01
Pegasus,Waimakariri,837000,2024-11-01
Te Hapara,Gisborne,564000,2024-11-01
Clive,Hastings,887000,2024-11-01
Eskdale,Hastings,1343000,2024-11-01
Frimley,Hastings,881000,2024-11-01
Foxton Beach,Horowhenua,603000,2024-11-01
Bulls,Rangitikei,553000,2024-11-01
Helensburgh,Dunedin,743000,2024-11-01
Acacia Bay,Taupo,1388000,2024-11-01
Wharewaka,Taupo,1376000,2024-11-01
Huntly,Waikato,553000,2024-11-01
Beachlands,Auckland Manukau,1566000,2024-11-01
Clendon Park,Auckland Manukau,729000,2024-11-01
Totara Vale,Auckland North Shore,1004000,2024-11-01
Owhata,Rotorua,658000,2024-11-01
Victoria,Rotorua,504000,2024-11-01
Avonhead,Christchurch,816000,2024-11-01
Broomfield,Christchurch,703000,2024-11-01
Burnside,Christchurch,898000,2024-11-01
Fendalton,Christchurch,1776000,2024-11-01
Templeton,Christchurch,801000,2024-11-01
Lincoln,Selwyn,1022000,2024-11-01
Geraldine,Timaru,620000,2024-11-01
Gladstone,Invercargill,629000,2024-11-01
Richmond,Invercargill,496000,2024-11-01
Strandon,New Plymouth,1004000,2024-11-01
Waitara,New Plymouth,489000,2024-11-01
