Suburb,District,Average property value,3-month change %
Casebrook,Christchurch,"$855,000",1.8
Westgate,Auckland Waitakere,"$898,000",1.8
Stanmore Bay,Auckland Rodney,"$1,083,000",1.8
Flagstaff,Hamilton,"$1,129,000",1.8
Blockhouse Bay,Auckland City,"$1,162,000",1.8
The Gardens,Auckland Manukau,"$1,274,000",1.8
Saint Johns,Auckland City,"$1,492,000",1.8
Ohoka,Waimakariri,"$1,509,000",1.8
Karaka,Auckland Papakura,"$1,597,000",1.8
Bayswater,Auckland North Shore,"$1,672,000",1.8
Kohimarama,Auckland City,"$2,218,000",1.8
Putaruru,South Waikato,"$542,000",1.7
Kensington,Whangarei,"$614,000",1.7
Leeston,Selwyn,"$779,000",1.7
Te Awamutu,Waipa,"$784,000",1.7
Raumati South,Kapiti Coast,"$891,000",1.7
Tairua,Thames-Coromandel,"$1,088,000",1.7
Royal Oak,Auckland City,"$1,372,000",1.7
Farm Cove,Auckland Manukau,"$1,747,000",1.7
Kaitangata,Clutha,"$310,000",1.6
Wairoa,Wairoa,"$323,000",1.6
Waitara,New Plymouth,"$495,000",1.6
Addington,Christchurch,"$559,000",1.6
Wiri,Auckland Manukau,"$682,000",1.6
Kaeo,Far North,"$822,000",1.6
Clive,Hastings,"$901,000",1.6
Pokeno,Waikato,"$1,023,000",1.6
Totara Vale,Auckland North Shore,"$1,028,000",1.6
Glen Innes,Auckland City,"$1,126,000",1.6
Lake Tekapo,Mackenzie,"$1,199,000",1.6
Golflands,Auckland Manukau,"$1,300,000",1.6
Oropi,Western Bay of Plenty,"$1,548,000",1.6
Campbells Bay,Auckland North Shore,"$2,380,000",1.6
Kaikohe,Far North,"$408,000",1.5
Waikouaiti,Dunedin,"$542,000",1.5
Tinwald,Ashburton,"$626,000",1.5
Glenview,Waipa,"$767,000",1.5
Lyall Bay,Wellington,"$945,000",1.5
Totara Heights,Auckland Manukau,"$1,017,000",1.5
Westmere,Whanganui,"$1,034,000",1.5
Clarks Beach,Auckland Franklin,"$1,151,000",1.5
Surfdale,Auckland City,"$1,341,000",1.5
Mount Eden,Auckland City,"$1,726,000",1.5
Whanganui,Whanganui,"$430,000",1.4
Opunake,South Taranaki,"$497,000",1.4
Allenton,Ashburton,"$647,000",1.4
Southbridge,Selwyn,"$660,000",1.4
Owhata,Rotorua,"$667,000",1.4
Randwick Park,Auckland Manukau,"$779,000",1.4
Pegasus,Waimakariri,"$848,000",1.4
Maungatapu,Tauranga,"$888,000",1.4
Horotiu,Waikato,"$955,000",1.4
Bridge Hill,Central Otago,"$972,000",1.4
Northland,Wellington,"$1,057,000",1.4
Haumoana,Hastings,"$1,177,000",1.4
Windsor Park,Auckland North Shore,"$1,371,000",1.4
Whakamarama,Western Bay of Plenty,"$1,545,000",1.4
Grey Lynn,Auckland City,"$1,779,000",1.4
Takapuna,Auckland North Shore,"$2,189,000",1.4
Mayfair,Hastings,"$614,000",1.3
Rangiora,Waimakariri,"$723,000",1.3
Hairini,Tauranga,"$768,000",1.3
Avonhead,Christchurch,"$828,000",1.3
Hanmer Springs,Hurunui,"$849,000",1.3
Paraparaumu Beach,Kapiti Coast,"$868,000",1.3
Strathmore Park,Wellington,"$967,000",1.3
Onewhero,Waikato,"$995,000",1.3
Plimmerton,Porirua,"$1,004,000",1.3
Conifer Grove,Auckland Papakura,"$1,011,000",1.3
Whitianga,Thames-Coromandel,"$1,039,000",1.3
Flat Bush,Auckland Manukau,"$1,318,000",1.3
Somerville,Auckland Manukau,"$1,470,000",1.3
Hauraki,Auckland North Shore,"$2,003,000",1.3
Mellons Bay,Auckland Manukau,"$2,115,000",1.3
Flaxmere,Hastings,"$493,000",1.2
Roxburgh,Central Otago,"$499,000",1.2
North New Brighton,Christchurch,"$588,000",1.2
Ngaruawahia,Waikato,"$731,000",1.2
Berhampore,Wellington,"$837,000",1.2
Bethlehem,Tauranga,"$1,119,000",1.2
Oteha,Auckland North Shore,"$1,190,000",1.2
Orewa,Auckland Rodney,"$1,245,000",1.2
Chatswood,Auckland North Shore,"$1,482,000",1.2
Mount Pisa,Central Otago,"$1,533,000",1.2
Stonefields,Auckland City,"$1,551,000",1.2
Mission Bay,Auckland City,"$2,219,000",1.2
Taumarunui,Ruapehu,"$360,000",1.1
Elgin,Gisborne,"$476,000",1.1
Paparoa,Kaipara,"$717,000",1.1
Thames,Thames-Coromandel,"$719,000",1.1
Stoke,Nelson,"$748,000",1.1
Alexandra,Central Otago,"$793,000",1.1
Eden Terrace,Auckland City,"$811,000",1.1
Hillpark,Auckland Manukau,"$905,000",1.1
Pahurehure,Auckland Papakura,"$974,000",1.1
Beach Haven,Auckland North Shore,"$1,060,000",1.1
Havelock North,Hastings,"$1,187,000",1.1
Torbay,Auckland North Shore,"$1,275,000",1.1
Ngahinapouri,Waipa,"$1,352,000",1.1
Dannevirke,Tararua,"$490,000",1
Richmond,Invercargill,"$503,000",1
Waltham,Christchurch,"$520,000",1
Blagdon,New Plymouth,"$589,000",1
Saint Leonards,Hastings,"$598,000",1
Manurewa East,Auckland Manukau,"$716,000",1
Wallaceville,Upper Hutt,"$771,000",1
Morrinsville,Matamata-Piako,"$798,000",1
Newlands,Wellington,"$819,000",1
Camborne,Porirua,"$929,000",1
Rosehill,Auckland Papakura,"$932,000",1
Heretaunga,Upper Hutt,"$940,000",1
Panmure,Auckland City,"$990,000",1
Redcliffs,Christchurch,"$1,200,000",1
Whenuapai,Auckland Waitakere,"$1,247,000",1
West Harbour,Auckland Waitakere,"$1,248,000",1
Forrest Hill,Auckland North Shore,"$1,407,000",1
Castor Bay,Auckland North Shore,"$1,981,000",1
Remuera,Auckland City,"$2,616,000",1
Appleby,Invercargill,"$353,000",0.9
Oamaru,Waitaki,"$452,000",0.9
Ranfurly,Central Otago,"$467,000",0.9
Kaikorai,Dunedin,"$590,000",0.9
Otorohanga,Otorohanga,"$639,000",0.9
Stokes Valley,Lower Hutt,"$641,000",0.9
Grafton,Auckland City,"$664,000",0.9
Oxford,Waimakariri,"$710,000",0.9
Belleknowes,Dunedin,"$802,000",0.9
Clover Park,Auckland Manukau,"$860,000",0.9
