Suburb,TLA,Current average property value,1-year change %
Grandview Heights,Hamilton,"$925,000",1.5
Nawton,Hamilton,"$673,000",1.5
Kuripuni,Masterton,"$531,000",1.5
Spreydon,Christchurch,"$632,000",1.4
Sydenham,Christchurch,"$573,000",1.4
Waimairi Beach,Christchurch,"$995,000",1.4
Oamaru,Waitaki,"$436,000",1.4
Bluff,Invercargill,"$350,000",1.4
Waitara,New Plymouth,"$493,000",1.4
Redwood Valley,Tasman,"$1,573,000",1.4
Aidanfield,Christchurch,"$927,000",1.3
Rongotea,Manawatu,"$709,000",1.3
Ohakune,Ruapehu,"$485,000",1.3
Kaitaia,Far North,"$456,000",1.3
Albert Town,Queenstown-Lakes,"$1,625,000",1.3
Brooklands,New Plymouth,"$693,000",1.3
Ferndale,New Plymouth,"$796,000",1.3
Enderley,Hamilton,"$628,000",1.3
Buckland,Waikato,"$1,318,000",1.3
Heretaunga,Upper Hutt,"$948,000",1.3
Silverstream,Upper Hutt,"$878,000",1.3
Westport,Buller,"$403,000",1.3
Pleasant Point,Timaru,"$604,000",1.2
Otane,Central Hawke's Bay,"$763,000",1.2
Haumoana,Hastings,"$1,197,000",1.2
Kaikohe,Far North,"$406,000",1.2
South Dunedin,Dunedin,"$417,000",1.2
Tainui,Dunedin,"$606,000",1.2
Upper Vogeltown,New Plymouth,"$692,000",1.2
Matarangi,Thames-Coromandel,"$1,167,000",1.2
Clouston Park,Upper Hutt,"$672,000",1.2
Pinehaven,Upper Hutt,"$772,000",1.2
Pinehill,Auckland North Shore,"$1,797,000",1.1
Bryndwr,Christchurch,"$814,000",1.1
Oxford,Waimakariri,"$710,000",1.1
Musselburgh,Dunedin,"$637,000",1.1
Roslyn,Dunedin,"$894,000",1.1
Holmes Hill,Waitaki,"$570,000",1.1
Martinborough,South Wairarapa,"$985,000",1.1
Weymouth,Auckland Manukau,"$799,000",1
Poike,Tauranga,"$706,000",1
Akaroa,Christchurch,"$1,075,000",1
Broomfield,Christchurch,"$707,000",1
Opawa,Christchurch,"$795,000",1
Strowan,Christchurch,"$1,243,000",1
Frimley,Hastings,"$902,000",1
North Dunedin,Dunedin,"$711,000",1
Huntington,Hamilton,"$1,068,000",1
Glenview,Waipa,"$778,000",1
Ohaupo,Waipa,"$1,275,000",1
Aongatete,Western Bay of Plenty,"$1,292,000",0.9
Belfast,Christchurch,"$700,000",0.9
North New Brighton,Christchurch,"$593,000",0.9
Saint Martins,Christchurch,"$769,000",0.9
Upper Riccarton,Christchurch,"$687,000",0.9
Sanson,Manawatu,"$651,000",0.9
Russell,Far North,"$1,531,000",0.9
Caversham,Dunedin,"$467,000",0.9
Luggate,Queenstown-Lakes,"$1,188,000",0.9
Moturoa,New Plymouth,"$744,000",0.9
Mapua,Tasman,"$1,126,000",0.9
Hillcrest,Hamilton,"$789,000",0.9
Trentham,Upper Hutt,"$698,000",0.9
Huapai,Auckland Rodney,"$1,273,000",0.8
Sockburn,Christchurch,"$624,000",0.8
Leeston,Selwyn,"$778,000",0.8
