Suburb,TLA,Average property value,YoY % change,YoY $ change
Fairfield,Dunedin,"$776,000",4.6,"$34,000"
Forbury,Dunedin,"$452,000",4.6,"$20,000"
Halfway Bush,Dunedin,"$636,000",4.6,"$28,000"
Outram,Dunedin,"$844,000",4.6,"$37,000"
Kelson,Lower Hutt,"$863,000",4.6,"$38,000"
Paremata,Porirua,"$964,000",4.6,"$42,000"
Wallaceville,Upper Hutt,"$789,000",4.6,"$35,000"
Redwood,Christchurch,"$673,000",4.5,"$29,000"
Fairfield,Lower Hutt,"$785,000",4.5,"$34,000"
Long Bay,Auckland North Shore,"$1,759,000",4.4,"$74,000"
Kennedys Bush,Christchurch,"$1,788,000",4.4,"$76,000"
Waikanae Beach,Kapiti Coast,"$957,000",4.4,"$40,000"
Silverstream,Upper Hutt,"$904,000",4.4,"$38,000"
Westport,Buller,"$403,000",4.4,"$17,000"
Manurewa,Auckland Manukau,"$850,000",4.3,"$35,000"
Manurewa East,Auckland Manukau,"$758,000",4.3,"$31,000"
Albany,Auckland North Shore,"$1,156,000",4.3,"$48,000"
Birkdale,Auckland North Shore,"$993,000",4.3,"$41,000"
Northcross,Auckland North Shore,"$1,343,000",4.3,"$55,000"
Methven,Ashburton,"$704,000",4.3,"$29,000"
Riccarton,Christchurch,"$760,000",4.3,"$31,000"
Waltham,Christchurch,"$513,000",4.3,"$21,000"
Temuka,Timaru,"$515,000",4.3,"$21,000"
Stokes Valley,Lower Hutt,"$651,000",4.3,"$27,000"
Whitby,Porirua,"$994,000",4.3,"$41,000"
Brooklyn,Wellington,"$1,097,000",4.3,"$45,000"
Johnsonville,Wellington,"$856,000",4.3,"$35,000"
Lyall Bay,Wellington,"$1,009,000",4.3,"$42,000"
Heathcote Valley,Christchurch,"$828,000",4.2,"$33,000"
Waimataitai,Timaru,"$519,000",4.2,"$21,000"
Waikuku Beach,Waimakariri,"$699,000",4.2,"$28,000"
Concord,Dunedin,"$576,000",4.2,"$23,000"
Te Anau,Southland,"$765,000",4.2,"$31,000"
Avonhead,Christchurch,"$819,000",4.1,"$32,000"
Marchwiel,Timaru,"$531,000",4.1,"$21,000"
Alexandra,Central Otago,"$786,000",4.1,"$31,000"
Albert Town,Queenstown-Lakes,"$1,657,000",4.1,"$65,000"
Otaki,Kapiti Coast,"$737,000",4.1,"$29,000"
Riverstone Terraces,Upper Hutt,"$1,082,000",4,"$42,000"
Botany Downs,Auckland Manukau,"$1,293,000",3.9,"$49,000"
Palmerston North,Palmerston North,"$638,000",3.9,"$24,000"
Three Kings,Auckland City,"$1,191,000",3.8,"$44,000"
Westmere,Auckland City,"$2,598,000",3.8,"$94,000"
Belleknowes,Dunedin,"$798,000",3.8,"$29,000"
Kelvin Heights,Queenstown-Lakes,"$2,839,000",3.8,"$104,000"
Georgetown,Invercargill,"$387,000",3.8,"$14,000"
