Suburb,Territorial local authority,Average property value,3-month change
Ngaio,Wellington,"$1,058,000 ",1.9
Woodridge,Wellington,"$973,000 ",1.9
Coastlands,Whakatane,"$1,013,000 ",1.9
Durie Hill,Whanganui,"$594,000 ",1.9
Tawhero,Whanganui,"$526,000 ",1.9
Birkdale,Auckland North Shore,"$979,000 ",1.8
Browns Bay,Auckland North Shore,"$1,233,000 ",1.8
Hatfields Beach,Auckland Rodney,"$1,159,000 ",1.8
Te Atatu South,Auckland Waitakere,"$957,000 ",1.8
Waipawa,Central Hawke's Bay,"$635,000 ",1.8
Addington,Christchurch,"$557,000 ",1.8
Aidanfield,Christchurch,"$918,000 ",1.8
Avondale,Christchurch,"$555,000 ",1.8
New Brighton,Christchurch,"$559,000 ",1.8
Parklands,Christchurch,"$747,000 ",1.8
Forbury,Dunedin,"$453,000 ",1.8
Kaitaia,Far North,"$448,000 ",1.8
Leithfield,Hurunui,"$682,000 ",1.8
Bluff,Invercargill,"$347,000 ",1.8
Te Aroha,Matamata-Piako,"$688,000 ",1.8
Fitzroy,New Plymouth,"$922,000 ",1.8
Mapua,Tasman,"$1,121,000 ",1.8
Kensington,Timaru,"$465,000 ",1.8
Timberlea,Upper Hutt,"$802,000 ",1.8
Te Kowhai,Waikato,"$1,337,000 ",1.8
Loburn,Waimakariri,"$1,157,000 ",1.8
Northland,Wellington,"$1,093,000 ",1.8
Oropi,Western Bay of Plenty,"$1,541,000 ",1.8
Springvale,Whanganui,"$569,000 ",1.8
Mount Wellington,Auckland City,"$1,009,000 ",1.7
Royal Oak,Auckland City,"$1,415,000 ",1.7
Bayswater,Auckland North Shore,"$1,757,000 ",1.7
Titirangi,Auckland Waitakere,"$1,212,000 ",1.7
Otane,Central Hawke's Bay,"$768,000 ",1.7
Belfast,Christchurch,"$698,000 ",1.7
Fairfield,Hamilton,"$762,000 ",1.7
Camberley,Hastings,"$551,000 ",1.7
Parkvale,Hastings,"$675,000 ",1.7
Paeroa,Hauraki,"$588,000 ",1.7
Waikanae,Kapiti Coast,"$917,000 ",1.7
Nelson South,Nelson,"$762,000 ",1.7
Welbourn,New Plymouth,"$698,000 ",1.7
Springfield,Rotorua,"$815,000 ",1.7
Brightwater,Tasman,"$937,000 ",1.7
Woodend,Waimakariri,"$735,000 ",1.7
Aro Valley,Wellington,"$948,000 ",1.7
Maungatapere,Whangarei,"$1,051,000 ",1.7
Ponsonby,Auckland City,"$2,450,000 ",1.6
The Gardens,Auckland Manukau,"$1,310,000 ",1.6
Totara Vale,Auckland North Shore,"$1,023,000 ",1.6
Mairehau,Christchurch,"$652,000 ",1.6
Merivale,Christchurch,"$1,553,000 ",1.6
Beerescourt,Hamilton,"$995,000 ",1.6
Rototuna North,Hamilton,"$1,034,000 ",1.6
Akina,Hastings,"$629,000 ",1.6
Witherlea,Marlborough,"$760,000 ",1.6
Pirimai,Napier,"$626,000 ",1.6
Takaro,Palmerston North,"$560,000 ",1.6
Tamahere,Waikato,"$2,065,000 ",1.6
Ngahinapouri,Waipa,"$1,377,000 ",1.6
Berhampore,Wellington,"$841,000 ",1.6
Allenton,Ashburton,"$624,000 ",1.5
Blockhouse Bay,Auckland City,"$1,208,000 ",1.5
New Windsor,Auckland City,"$1,251,000 ",1.5
Oneroa,Auckland City,"$2,083,000 ",1.5
Stonefields,Auckland City,"$1,587,000 ",1.5
Waterview,Auckland City,"$1,065,000 ",1.5
Rothesay Bay,Auckland North Shore,"$1,644,000 ",1.5
Beckenham,Christchurch,"$893,000 ",1.5
Bromley,Christchurch,"$527,000 ",1.5
Marshland,Christchurch,"$1,059,000 ",1.5
Riccarton,Christchurch,"$752,000 ",1.5
Strowan,Christchurch,"$1,237,000 ",1.5
Kaikohe,Far North,"$404,000 ",1.5
Pukete,Hamilton,"$821,000 ",1.5
Rototuna,Hamilton,"$1,025,000 ",1.5
Raumati Beach,Kapiti Coast,"$853,000 ",1.5
Springlands,Marlborough,"$824,000 ",1.5
Poraiti,Napier,"$1,257,000 ",1.5
Stepneyville,Nelson,"$1,221,000 ",1.5
The Brook,Nelson,"$690,000 ",1.5
Waitara,New Plymouth,"$484,000 ",1.5
Greerton,Tauranga,"$724,000 ",1.5
Pokeno,Waikato,"$1,035,000 ",1.5
Te Awamutu,Waipa,"$790,000 ",1.5
Wellington Central,Wellington,"$556,000 ",1.5
Grey Lynn,Auckland City,"$1,832,000 ",1.4
Clarks Beach,Auckland Franklin,"$1,195,000 ",1.4
Long Bay,Auckland North Shore,"$1,754,000 ",1.4
Pinehill,Auckland North Shore,"$1,777,000 ",1.4
Karaka,Auckland Papakura,"$1,640,000 ",1.4
Rosehill,Auckland Papakura,"$955,000 ",1.4
Orewa,Auckland Rodney,"$1,239,000 ",1.4
Dallington,Christchurch,"$585,000 ",1.4
Harewood,Christchurch,"$1,120,000 ",1.4
Hillsborough,Christchurch,"$823,000 ",1.4
Ilam,Christchurch,"$936,000 ",1.4
Islington,Christchurch,"$569,000 ",1.4
Inner Kaiti,Gisborne,"$720,000 ",1.4
Melville,Hamilton,"$655,000 ",1.4
Mahora,Hastings,"$716,000 ",1.4
Wainuiomata,Lower Hutt,"$640,000 ",1.4
Mayfield,Marlborough,"$566,000 ",1.4
Tahunanui,Nelson,"$675,000 ",1.4
Woodville,Tararua,"$437,000 ",1.4
Taupiri,Waikato,"$1,067,000 ",1.4
Leamington,Waipa,"$947,000 ",1.4
Pukehina,Western Bay of Plenty,"$1,269,000 ",1.4
Tahawai,Western Bay of Plenty,"$1,261,000 ",1.4
Tutukaka,Whangarei,"$1,327,000 ",1.4
Mount Roskill,Auckland City,"$1,167,000 ",1.3
Pakuranga,Auckland Manukau,"$1,177,000 ",1.3
Northcote Point,Auckland North Shore,"$1,746,000 ",1.3
Pahurehure,Auckland Papakura,"$1,016,000 ",1.3
Te Atatu Peninsula,Auckland Waitakere,"$1,105,000 ",1.3
West Harbour,Auckland Waitakere,"$1,286,000 ",1.3
Caversham,Dunedin,"$468,000 ",1.3
Chartwell,Hamilton,"$839,000 ",1.3
Hamilton Lake,Hamilton,"$901,000 ",1.3
Frimley,Hastings,"$884,000 ",1.3
Mayfair,Hastings,"$614,000 ",1.3
Foxton Beach,Horowhenua,"$626,000 ",1.3
Lynmouth,New Plymouth,"$696,000 ",1.3
Vogeltown,New Plymouth,"$601,000 ",1.3
Westown,New Plymouth,"$628,000 ",1.3
Glenholme,Rotorua,"$676,000 ",1.3
Ngongotaha,Rotorua,"$704,000 ",1.3
Pukehangi,Rotorua,"$643,000 ",1.3
Darfield,Selwyn,"$850,000 ",1.3
Lincoln,Selwyn,"$998,000 ",1.3
Rangiora,Waimakariri,"$715,000 ",1.3
Sefton,Waimakariri,"$987,000 ",1.3
Ohaupo,Waipa,"$1,283,000 ",1.3
Paparangi,Wellington,"$849,000 ",1.3
Tawa,Wellington,"$856,000 ",1.3
Thorndon,Wellington,"$976,000 ",1.3
Onerahi,Whangarei,"$647,000 ",1.3
Ramarama,Auckland Franklin,"$1,504,000 ",1.2
Takapuna,Auckland North Shore,"$2,216,000 ",1.2
Linwood,Christchurch,"$504,000 ",1.2
Appleby,Invercargill,"$338,000 ",1.2
Petone,Lower Hutt,"$834,000 ",1.2
The Wood,Nelson,"$789,000 ",1.2
Wakefield,Tasman,"$903,000 ",1.2
Buckland,Waikato,"$1,319,000 ",1.2
Glenbervie,Whangarei,"$1,174,000 ",1.2
Favona,Auckland Manukau,"$855,000 ",1.1
Hauraki,Auckland North Shore,"$2,022,000 ",1.1
Glendene,Auckland Waitakere,"$962,000 ",1.1
Westgate,Auckland Waitakere,"$933,000 ",1.1
