"","Year","City","Region_Category","Mortgage_Index","Deposit_Index","Rent_Index","Mortgage_Floating_Rate","Mortgage_2yr_Fixed_Rate","HPI_Annual_Change","HVS_House_Values","RBNZ_House_Price_Change","RBNZ_House_Value_Index","RBNZ_Debt_Servicing_Pct","RBNZ_Floating_Rate","RBNZ_2yr_Fixed_Rate","RBNZ_CPI_Change","RBNZ_Unemployment_Rate","Avg_House_Price_Level","Avg_House_Price_Change","Avg_House_Price_Abs_Change","Unemployment_Rate","Income_Level","Income_Quarterly_Change","Consents_Per_1000","log_price"
"11",2015,"Dunedin City","Other",0.347225649248839,1.49609025395607,1.86183154202698,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"12",2015,"Far North District","Other",0.677769350784643,2.07109264198597,1.00862359967614,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"13",2015,"Gisborne","Other",0.720082522862163,2.14205452946665,1.14085772645768,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"14",2015,"Gisborne District","Other",0.720082522862163,2.14205452946665,1.14085772645768,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"15",2015,"Gore District","Other",0.741373294436053,2.18118911729924,0.673868738184111,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"16",2015,"Grey District","Other",0.642165455463601,1.99103724032013,1.2566519347745,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"17",2015,"Hamilton City","Other",-0.140672956482225,0.656888802010712,0.5266242510652,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"18",2015,"Hastings District","Other",0.394458957614443,1.57744472907694,0.927377046104049,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"19",2015,"Hauraki District","Other",0.493935167657152,1.75704163423397,1.04912774661823,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"20",2015,"Hawke's Bay","Other",0.442497379190823,1.66058543019846,0.975267243370878,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
